Country Macro,Country,Datos Region,Year,SCALE,Employed persons,Population,FiscalBalance_pctGDP,Debt_pctGDP,Savings_pctGDP,GDP_real_growth,CapitalFormation_pctGDP,Market Shipments
Algeria,Algeria,MEA,2028,Millions,,49006000.0,-9.824,75.41,33.3645,2.6165000000000003,36.5945,90.0
Algeria,Algeria,MEA,2029,Units,,49300000.0,-9.201,77.248,33.11,2.495,36.113,90.0
Algeria,Algeria,MEA,2029,Units,,49300000.0,-9.201,77.248,33.11,2.495,36.113,370.0
Algeria,Algeria,MEA,2029,Millions,,49594000.0,-9.211500000000001,79.179,33.0135,2.4895,35.8785,90.0
Algeria,Algeria,MEA,2029,Millions,,49594000.0,-9.211500000000001,79.179,33.0135,2.4895,35.8785,370.0
Algeria,Algeria,MEA,2030,Units,,50139500.0,-9.222,81.11,32.917,2.484,35.644,90.0
Algeria,Algeria,MEA,2030,Units,,50139500.0,-9.222,81.11,32.917,2.484,35.644,395.0
Algeria,Algeria,MEA,2030,Millions,,50685000.0,-9.222,81.11,32.917,2.484,35.644,90.0
Algeria,Algeria,MEA,2030,Millions,,50685000.0,-9.222,81.11,32.917,2.484,35.644,395.0
Angola,Angola,MEA,2022,Units,,35589000.0,0.584,56.108,41.644,4.22,33.386,
Angola,Angola,MEA,2022,Millions,,35589000.0,-0.6230000000000001,64.259,39.217,2.7415,33.227500000000006,
Angola,Angola,MEA,2023,Units,,36136500.0,-1.83,72.41,36.79,1.263,33.069,
Angola,Angola,MEA,2023,Millions,,36684000.0,-1.4195,66.16149999999999,37.884,2.8435,33.2995,
Angola,Angola,MEA,2024,Units,,37326000.0,-1.009,59.913,38.978,4.424,33.53,
Angola,Angola,MEA,2024,Millions,,37968000.0,-1.884,61.1395,37.6995,3.257,34.5055,
Angola,Angola,MEA,2025,Units,,38632500.0,-2.759,62.366,36.421,2.09,35.481,420.0
Angola,Angola,MEA,2025,Millions,,39297000.0,-2.8739999999999997,62.799,36.18,2.0839999999999996,35.474000000000004,420.0
Angola,Angola,MEA,2026,Units,,39984500.0,-2.989,63.232,35.939,2.078,35.467,25.0
Angola,Angola,MEA,2026,Units,,39984500.0,-2.989,63.232,35.939,2.078,35.467,400.0
Angola,Angola,MEA,2026,Millions,,40672000.0,-2.969,63.3525,35.6545,2.292,35.1035,25.0
Angola,Angola,MEA,2026,Millions,,40672000.0,-2.969,63.3525,35.6545,2.292,35.1035,400.0
